"company","layoff_number","layoff_percent","announcement_date","industry","headquarters","financing_stage","source","notes","City"
"Vice Media",NA,NA,"2/22/2024","Media","Brooklyn, NY","Unknown","Business Insider",NA,"Brooklyn"
"Rivian",NA,0.1,"2/21/2024","Electric Vehicle (EV)","Plymouth, MI","Post-IPO","TechCrunch",NA,"Plymouth"
"Affirm",60,NA,"2/21/2024","Finance","San Francisco, CA","Post-IPO","Bnn","The layoff affected workers in Pittsburgh.","San Francisco"
"BuzzFeed",NA,0.16,"2/21/2024","Media","New York City, NY","Post-IPO","Variety",NA,"New York City"
"Meati",NA,0.3,"2/20/2024","Food","Boulder, CO","Series C","TechCrunch",NA,"Boulder"
"Sonder",106,0.17,"2/20/2024","Services","San Francisco, CA","Post-IPO","Skift","The layoffs are scheduled to be completed by March 31, 2024.","San Francisco"
"Gro Intelligence",20,0.1,"2/15/2024","Food","New York City, NY","Series B","AgFunderNews",NA,"New York City"
"CodeSee",NA,1,"2/15/2024","Software","San Francisco, CA","Seed","LinkedIn",NA,"San Francisco"
"Toast",550,0.1,"2/15/2024","Business","Boston, MA","Post-IPO","Bloomberg",NA,"Boston"
"Cisco",NA,0.05,"2/14/2024","Business","San Jose, CA","Post-IPO","CNBC","This is a global cut. It's unclear how many U.S. workers are affected.","San Jose"
"Away",NA,25,"2/14/2024","Business","New York City, NY","Series D","Inc.",NA,"New York City"
"Upside Foods",16,NA,"2/14/2024","Food","Berkeley, CA","Series C","Wired",NA,"Berkeley"
"Paramount Global",800,0.03,"2/13/2024","Logistics","La Mirada, CA","Unknown","The Information",NA,"La Mirada"
"Instacart",250,0.07,"2/13/2024","Services","San Francisco, CA","Unknown","CNBC","It's unclear how many U.S. workers are affected.","San Francisco"
"Redesign Health",77,NA,"2/13/2024","Health","New York City, NY","Series C","Fierce Healthcare",NA,"New York City"
"Mozilla",60,0.05,"2/13/2024","Telecommunication","Mountain View, CA","Unknown","Bloomberg",NA,"Mountain View"
"Riskified",40,0.06,"2/13/2024","Business","New York City, NY","Post-IPO","Globes",NA,"New York City"
"May Mobility",NA,0.13,"2/15/2023","Travel","Ann Arbor, MI","Series D","The Detroit News",NA,"Ann Arbor"
"Journera",NA,1,"2/8/2024","Travel","Chicago, IL","Series B","PhocusWire",NA,"Chicago"
"Getaround",NA,0.3,"2/8/2024","Travel","San Francisco, CA","Post-IPO","TechCrunch",NA,"San Francisco"
"Pure Storage",275,0.04,"2/8/2024","Cloud","Santa Clara, CA","Post-IPO","Blocks & Files","It's unclear how many U.S. workers were affected.","Santa Clara"
"Grammarly",230,NA,"2/7/2024","AI","San Francisco, CA","Unknown","Elbuz","It's unclear how many U.S. workers were affected.","San Francisco"
"Fireblocks",20,0.03,"2/7/2024","Cryptocurrency","New York City, NY","Series E","Calcalist","It's unclear how many U.S. workers were affected.","New York City"
"Tenable",NA,0.05,"2/7/2024","Cybersecurity","Columbia, MD","Post-IPO","Bnn",NA,"Columbia"
"DocuSign",440,0.06,"2/6/2024","Services","San Francisco, CA","Post-IPO","CNBC",NA,"San Francisco"
"Amazon",400,NA,"2/6/2024","Business","Seattle, WA","Post-IPO","Business Insider",NA,"Seattle"
"Zwift",NA,NA,"2/5/2024","Fitness","Long Beach, CA","Series C","Zwift Forums",NA,"Long Beach"
"Nomad Health",NA,NA,"2/5/2024","Health","New York City, NY","Unknown","Business Insider",NA,"New York City"
"Meetup",NA,NA,"2/5/2024","Social Related","New York City, NY","Acquired","Community Matters",NA,"New York City"
"Astarte Medical",NA,1,"2/5/2024","Health","Yardley, PA","Series A","Business Insider",NA,"Yardley"
"Impact.com",40,0.03,"2/5/2024","Business","Santa Barbara, CA","Private Equity","AdNews","It's unclear how many U.S. workers were affected.","Santa Barbara"
"BillGO",80,NA,"2/5/2024","Finance","Fort Collins, CO","Series B","KFKA",NA,"Fort Collins"
"Drizly",168,1,"2/5/2024","Business","Boston, MA","Acquired","Boston.com",NA,"Boston"
"Snap",500,0.1,"2/5/2024","Social Related","Venice, CA","Post-IPO","CNBC","This is a global cut. It's unclear how many U.S. workers were affected.","Venice"
"Cue Health",209,0.3,"2/2/2024","Health","San Diego, CA","Post-IPO","The San Diego Union-Tribune","This is a global cut of 245 employees.","San Diego"
"Zoom",150,0.02,"2/1/2024","Telecommunication","San Jose, CA","Post-IPO","CNBC",NA,"San Jose"
"Okta",400,0.07,"2/1/2024","Business","San Francisco, CA","Post-IPO","CNBC",NA,"San Francisco"
"Indigo",NA,NA,"2/1/2024","Agriculture","Boston, MA","Series F","Boston Business Journal",NA,"Boston"
"Illumina",111,NA,"2/1/2024","Biotech","San Diego, CA","Post-IPO","The San Diego Union-Tribune","The layoff will take effect on March 12, 2024.","San Diego"
"The Messenger",300,1,"1/31/2024","Media","West Palm Beach, FL","Unknown","NBC News","The total layoffs number is an estimate based on how many people the publication is believed to have hired since launch.","West Palm Beach"
"Thinx",95,NA,"1/31/2024","Business","New York City, NY","Acquired","Modern Retail",NA,"New York City"
"Proofpoint",260,0.06,"1/31/2024","Cybersecurity","Sunnyvale, CA","Acquired","Calcalist","This is a global cut of 280 employees.","Sunnyvale"
"PayPal",NA,0.09,"1/30/2024","Finance","San Jose, CA","Post-IPO","Bloomberg",NA,"San Jose"
"Aurora Solar",500,0.2,"1/30/2024","Software","San Francisco, CA","Series D","TechCrunch",NA,"San Francisco"
"Block",NA,0.1,"1/30/2024","Finance","Oakland, CA","Post-IPO","Business Insider","The cuts were at Cash App, Foundational and Square. It's uncler how many U.S. workers were affected.","Oakland"
"Noom",NA,NA,"1/30/2024","Fitness","New York City, NY","Series F","Endpoints News",NA,"New York City"
"iRobot",350,0.31,"1/29/2024","AI","Bedford, MA","Post-IPO","CNBC",NA,"Bedford"
"Productboard",NA,NA,"1/26/2024","Consumer","San Francisco, CA","Series D","Business Insider",NA,"San Francisco"
"TechCrunch",8,NA,"1/20/2024","Media","San Francisco, CA","Acquired","Adweek",NA,"San Francisco"
"DispatchHealth",88,NA,"1/19/2024","Health","Denver, CO","Series E","Home Health Care News",NA,"Denver"
"Flexport",520,0.2,"1/26/2024","Logistics","San Francisco, CA","Series E","The Information","The estimated number of cuts is based on Flexport's previously reported headcount figure of 2,600 in October 2023.","San Francisco"
"Salesforce",700,0.01,"1/26/2024","Business","San Francisco, CA","Post-IPO","The Wall Street Journal",NA,"San Francisco"
"Microsoft",NA,NA,"1/25/2024","Business","Seattle, WA","Post-IPO","The Verge","The cuts are in the Activision Blizzard and Xbox divisions. It's unclear how many U.S. workers are affected.","Seattle"
"Jamf",NA,0.06,"1/25/2024","Software","Minneapolis, MN","Post-IPO","StreetInsider",NA,"Minneapolis"
"Business Insider",NA,0.08,"1/25/2024","Media","New York City, NY","Acquired","Reuters",NA,"New York City"
"Veho",65,0.19,"1/25/2024","Logistics","Boulder, CO","Series B","The Information",NA,"Boulder"
"Aurora",NA,0.03,"1/24/2024","Auto","Pittsburgh, PA","Post-IPO","TechCrunch",NA,"Pittsburgh"
"HubSpot",20,NA,"1/24/2024","Business","Cambridge, MA","Post-IPO","LinkedIn post",NA,"Cambridge"
"Brex",282,0.2,"1/23/2024","Finance","San Francisco, CA","Series D","TechCrunch",NA,"San Francisco"
"Vroom",800,0.9,"1/23/2024","Business","Houston, TX","Post-IPO","Calcalist","The cuts will wind down the company's e-commerce operations, with its United Auto Credit Corp. and CarStory services remaining active.","Houston"
"eBay",NA,0.09,"1/23/2024","Business","San Jose, CA","Post-IPO","CNBC","This is a global cut. It's unclear how many U.S. workers are affected.","San Jose"
"Techstars",20,0.07,"1/23/2024","Business","Boulder, CO","Unknown","The Information",NA,"Boulder"
"Alphabet",NA,NA,"1/22/2024","Tech","Mountain View, CA","Post-IPO","Bloomberg","The cut is to the company's Moonshot X Lab. It's unclear how many U.S. workers are affected.","Mountain View"
"2U",NA,NA,"1/22/2024","Education","Hyattsville, MD","Post-IPO","The Report",NA,"Hyattsville"
"TikTok",60,NA,"1/22/2024","Social Related","Los Angeles, CA","Acquired","NPR","TikTok is owned by China-based ByteDance, but the layoffs affected staff in the U.S.","Los Angeles"
"Riot Games",530,0.11,"1/22/2024","Gaming","Los Angeles, CA","Acquired","Bloomberg",NA,"Los Angeles"
"Fashinza",NA,NA,"1/18/2024","Fashion","New York City, NY","Unknown","MoneyControl",NA,"New York City"
"Stitch Fix",NA,NA,"1/18/2024","Business","San Francisco, CA","Post-IPO","RetailDive",NA,"San Francisco"
"Wayfair",NA,0.19,"11/19/2023","Business","Boston, MA","Post-IPO","The Information",NA,"Boston"
"Amazon",30,NA,"1/18/2024","Business","Seattle, WA","Post-IPO","The Information","The cuts were made in the Buy With Prime division. It's unclear how many U.S. workers were affected.","Seattle"
"YouTube",100,NA,"1/17/2024","Media","San Bruno, CA","Acquired","The Information",NA,"San Bruno"
"Alphabet",NA,NA,"1/16/2024","Tech","Mountain View, CA","Post-IPO","The Information","The cuts are in the ad sales unit. It's unclear how many U.S. workers are affected.","Mountain View"
"First Mode",48,0.2,"1/16/2024","Travel","Seattle, WA","Acquired","GeekWire",NA,"Seattle"
"SonderMind",49,0.17,"1/16/2024","Health","Denver, CO","Series C","Endpoints",NA,"Denver"
"Veeam",300,NA,"1/12/2024","Cloud","Columbus, OH","Acquired","Blocks & Files","It's unclear how many U.S. workers are affected.","Columbus"
"Artifact",8,1,"1/12/2024","Social Related","Los Angeles, CA","Unknown","TechCrunch",NA,"Los Angeles"
"Vendr",NA,NA,"1/12/2024","Software","Boston, MA","Series B","Company communication","It's unclear how many U.S. workers are affected.","Boston"
"Hologram",30,NA,"1/12/2024","Tech","Chicago, IL","Unknown","Company LinkedIn post",NA,"Chicago"
"Alphabet",1000,NA,"1/10/2024","Tech","Mountain View, CA","Post-IPO","The Verge","The cuts were made in its core engineering and Google Assistant teams. It's unclear how many U.S. workers were affected.","Mountain View"
"Dextrous Robotics",NA,1,"1/11/2024","AI","Memphis, TN","Unknown","The RobotReport","The company shut down in late December 2023.","Memphis"
"Sisense",60,0.13,"1/11/2024","Data","New York City, NY","Series F","Calcalist",NA,"New York City"
"Audible",100,0.05,"1/11/2024","Media","Newark, NJ","Acquired","Variety","Audible is owned by Amazon.","Newark"
"Discord",170,0.17,"1/11/2024","Social Related","San Francisco, CA","Series H","The Verge",NA,"San Francisco"
"MeridianLink",NA,0.09,"1/11/2024","Finance","Costa Mesa, CA","Post-IPO","The Information",NA,"Costa Mesa"
"Amazon",NA,NA,"1/10/2024","Business","Seattle, WA","Post-IPO","Bloomberg","The layoff affects workers in Amazon's Prime Video and studios business. It's unclear how many U.S. workers were affected.","Seattle"
"Beam Benefits",74,NA,"1/10/2024","Health","Columbus, OH","Series E","Coverager",NA,"Columbus"
"Citrix",NA,0.12,"1/10/2024","Security","Fort Lauderdale, FL","Acquired","CRN",NA,"Fort Lauderdale"
"Instagram",60,NA,"1/10/2024","Social Related","Menlo Park, CA","Acquired","Business Insider","The cuts affected technical program managers across the organization. It's unclear how many U.S. workers were affected.","Menlo Park"
"SoFi",NA,0.04,"1/10/2024","Finance","San Francisco, CA","Post-IPO","Company post on X",NA,"San Francisco"
"ChargePoint",NA,0.12,"1/10/2024","Electric Vehicle (EV)","Campbell, CA","Unknown","Businesswire",NA,"Campbell"
"Rent the Runway",NA,0.1,"1/9/2024","Business","New York City, NY","Post-IPO","The Information",NA,"New York City"
"Twitch",500,0.35,"1/9/2024","Gaming","San Francisco, CA","Acquired","Bloomberg","Twitch is owned by Amazon.","San Francisco"
"Humane",10,0.04,"1/9/2024","AI","San Francisco, CA","Series C","The Verge",NA,"San Francisco"
"Uber Freight",NA,NA,"1/9/2024","Logistics","San Francisco, CA","Subsidiary","Freightwaves","Uber Freight is owned by Uber.","San Francisco"
"Nevro",63,0.05,"1/9/2024","Biotech","Menlo Park, CA","Post-IPO","MarketWatch",NA,"Menlo Park"
"Branch",85,NA,"1/9/2024","Insurance","Columbus, OH","Series C","Coverager",NA,"Columbus"
"Flexe",NA,0.38,"1/8/2024","Logistics","Seattle, WA","Series D","GeekWire",NA,"Seattle"
"Unity",NA,0.25,"1/8/2024","Gaming","San Francisco, CA","Post-IPO","Reuters","This is a global cut. It's unclear how many U.S. workers were affected.","San Francisco"
"Here",NA,1,"1/8/2024","Business","Miami, FL","Seed","TechCrunch","The company shut down the platform on Jan. 3, 2024.","Miami"
"NanoString Technologies",50,0.09,"1/6/2024","Biotech","Seattle, WA","Post-IPO","GeekWire",NA,"Seattle"
"NuScale Power",NA,0.4,"1/5/2024","Energy","Corvallis, OR","Post-IPO","HuffPost",NA,"Corvallis"
"Lever",NA,NA,"1/5/2024","Human Resources","San Francisco, CA","Acquired","The San Francisco Standard",NA,"San Francisco"
"Cue Health",94,0.13,"1/5/2024","Health","San Diego, CA","Post-IPO","360Dx","The termination date is set for early March.","San Diego"
"VideoAmp",NA,0.2,"1/4/2024","Advertising","Los Angeles, CA","Series F","AdAge",NA,"Los Angeles"
"InVision",NA,1,"1/4/2024","Software","New York City, NY","Series F","The Information","The shutdown is scheduled for year-end 2024.","New York City"
"The Messenger",24,NA,"1/2/2024","Media","New York City, NY","Unknown","The New York Times",NA,"New York City"
"Frontdesk",200,1,"1/2/2024","Travel","Milwaukee, WI","Unknown","TechCrunch","The layoffs were effective on Jan. 2, 2024.","Milwaukee"
"Countdown Capital",NA,1,"1/2/2024","Business","Miami, FL","Unknown","TechCrunch",NA,"Miami"
"Strake",NA,1,"12/28/2023","Hardware","Boulder, CO","Unknown","LinkedIn post","The company closed down on Dec. 31, 2023.","Boulder"
"Intel",311,NA,"12/21/2023","AI","Santa Clara, CA","Post-IPO","The Register","The layoff, affecting workers in the Folsom, California, lab and Santa Clara headquarters, was effective on Dec. 31.","Santa Clara"
"Palmetto Clean Technology",NA,NA,"12/21/2023","Energy","Charleston, SC","Private Equity","CharlotteInno",NA,"Charleston"
"Hyperloop One",NA,1,"12/21/2023","Logistics","Los Angeles, CA","Unknown","Bloomberg","The layoffs were effective on Dec. 31, 2023.","Los Angeles"
"Commure",NA,NA,"12/19/2023","Health","San Francisco, CA","Unknown","Business Insider",NA,"San Francisco"
"Kaspien",NA,1,"12/19/2023","Business","Spokane, WA","Post-IPO","GeekWire","The company says it will completely shut down by May 1, 2024.","Spokane"
"Enphase Energy",350,0.1,"12/18/2023","Energy","Fremont, CA","Post-IPO","Company communciation","The layoff will affect both contractors and employees. It's unclear how many U.S. workers will be affected.","Fremont"
"Superpedestrian",NA,NA,"12/15/2023","Travel","Cambridge, MA","Series C","TechCrunch","The e-scooter startup announced it would close its U.S. location on Dec. 31, and is looking to sell its European business.","Cambridge"
"Invitae",NA,0.15,"12/15/2023","Biotech","San Francisco, CA","Post-IPO","InvestorPlace",NA,"San Francisco"
"Noteable",NA,1,"12/15/2023","Data","San Jose, CA","Series A","Company communication","The company closed down on Dec. 15.","San Jose"
"Flyhomes",NA,NA,"12/15/2023","Prop Tech","Seattle, WA","Series C","GeekWire",NA,"Seattle"
"Glowforge",30,NA,"12/15/2023","Services","Seattle, WA","Series E","GeekWire",NA,"Seattle"
"Sojern",NA,0.2,"12/13/2023","Business","San Francisco, CA","Unknown","Skift",NA,"San Francisco"
"Bolt",100,0.29,"12/14/2023","Business","San Francisco, CA","Series F","The San Francisco Standard",NA,"San Francisco"
"Curbio",NA,0.29,"12/14/2023","Finance","Potomic, MD","Series B","LinkedIn Post",NA,"Potomic"
"Etsy",225,0.11,"12/13/2023","Business","Brooklyn, NY","Post-IPO","The Information",NA,"Brooklyn"
"Sojern",NA,0.2,"12/13/2023","Travel","San Francisco, CA","Unknown","Skift",NA,"San Francisco"
"Analog Devices",111,NA,"12/13/2023","Hardware","Norwood, MA","Post-IPO","BollyInside","The layoffs, effective on Jan. 12, are from the company's North San Jose, California, location.","Norwood"
"ForgeRock",109,NA,"12/13/2023","Business","San Francisco, CA","Acquired","The San Francisco Standard","The layoffs are scheduled to take place in the first half of 2024.","San Francisco"
"Flex",31,NA,"12/13/2023","Finance","New York City, NY","Unknown","BollyInside","The layoffs in the Milpitas, California, location are scheduled to take place on Jan. 6.","New York City"
"Stellar Pizza",NA,0.5,"12/13/2023","Business","Los Angeles, CA","Series A","Bloomberg",NA,"Los Angeles"
"Invitae",NA,NA,"12/13/2023","Biotech","San Francisco, CA","Post-IPO","Company press release",NA,"San Francisco"
"Chipper Cash",15,0.33,"12/11/2023","Finance","San Francisco, CA","Series C","Techcabal",NA,"San Francisco"
"Sunfolding",NA,1,"12/9/2023","Energy","San Francisco, CA","Series B","The Open News",NA,"San Francisco"
"SmileDirectClub",NA,1,"12/9/2023","Health","Nashville, TN","Post-IPO","CNN Business",NA,"Nashville"
"Jungle Scout",NA,NA,"12/9/2023","Business","Austin, TX","Private Equity","LinkedIn Post",NA,"Austin"
"D2iQ",NA,1,"12/8/2023","Cloud","San Francisco, CA","Series D","The Information",NA,"San Francisco"
"Zulily",839,1,"12/8/2023","Business","Seattle, WA","Acquired","GeekWire",NA,"Seattle"
"Near Intelligence",NA,NA,"12/8/2023","Data","Pasadena, CA","Unknown","Bloomberg",NA,"Pasadena"
"Rivian Automotive",20,NA,"12/8/2023","Electric Vehicle (EV)","Plymouth, MI","Unknown","Seeking Alpha","The layoff affects workers in the long-range battery cells division.","Plymouth"
"Atmosphere",NA,NA,"12/7/2023","Media","Austin, TX","Series D","AustinInno",NA,"Austin"
"Tidal",40,0.1,"12/6/2023","Media","New York City, NY","Acquired","Bloomberg","Tidal was acquired by Block (previously Square).","New York City"
"OpenView Venture Partners",NA,1,"12/5/2023","Business","Boston, MA","Unknown","The Information",NA,"Boston"
"Spotify",NA,0.17,"12/5/2023","Media","New York City, NY","Post-IPO","The Information","This is a global cut. It's unclear how many affected workers are in the U.S.","New York City"
"TinyBuild",NA,NA,"12/5/2023","Gaming","Bellevue, WA","Unknown","Insider Gaming","This is a global cut. It's unclear how many affected workers are in the U.S.","Bellevue"
"Bill.com",NA,0.15,"12/5/2023","Finance","San Jose, CA","Post-IPO","Investing.com","This is a global cut. It's unclear how many affected workers are in the U.S.","San Jose"
"Genesis Global",8,NA,"12/5/2023","Cryptocurrency","Miami, FL","Unknown","efinancialcareers","According to reports, the affected workers were in the New York location.","Miami"
"Navan",145,0.05,"12/5/2023","Business","Palo Alto, CA","Unknown","The Information",NA,"Palo Alto"
"DwellWell",NA,1,"12/4/2023","Prop Tech","Culver City, CA","Seed","LinkedIn post",NA,"Culver City"
"Twilio",300,0.05,"12/4/2023","Business","San Francisco, CA","Post-IPO","The Information",NA,"San Francisco"
"TuSimple",150,0.75,"12/4/2023","Auto","San Diego, CA","Post-IPO","Morningstar",NA,"San Diego"
"Filmic",22,1,"12/1/2023","Software","Seattle, WA","Acquired","The Verge","The layoffs occured in November.","Seattle"
"Domo",NA,0.07,"12/1/2023","Software","American Fork, UT","Post-IPO","Yahoo finance",NA,"American Fork"
"Mojo",NA,0.2,"11/30/2023","Media","New York City, NY","Unknown","Business Insider",NA,"New York City"
"Vox Media",NA,0.04,"11/30/2023","Media","Washington, DC","Series F","The Information",NA,"Washington"
"Dataminr",150,0.2,"11/28/2023","AI","New York City, NY","Series F","TechCrunch",NA,"New York City"
"Unity",265,0.04,"11/28/2023","Gaming","San Francisco, CA","Post-IPO","Reuters","This is a global cut. It's unclear how many affected workers are in the U.S.","San Francisco"
"Our Next Energy",128,0.25,"11/27/2023","Electric Vehicle (EV)","Detroit, MI","Series B","Reuters",NA,"Detroit"
"VMware",NA,NA,"11/27/2023","Hardware","San Jose, CA","Acquired","San Francisco Chronicle","The layoffs are related to Broadcom's acquisition of VMware. An estimated 1,267 of the cuts are from Silicon Valley, while the rest are elsewhere.","San Jose"
"Veev",NA,NA,"11/26/2023","Prop Tech","San Mateo, CA","Series D","The Information","The reported layoff is presently limited to the company's U.S. workers.","San Mateo"
"Crispr Therapeutics",50,0.1,"11/22/2023","Biotech","Cambridge, MA","Unknown","Fierce Biotech","The layoff is set to take effect on Dec. 18, 2023.","Cambridge"
"Orion Advisor Solutions",78,NA,"11/21/2023","Finance","Omaha, NE","Unknown","RIA Biz",NA,"Omaha"
"C3.ai",NA,NA,"11/20/2023","AI","Redwood City, CA","Series F","Bloomberg",NA,"Redwood City"
"NextGen Healthcare",84,NA,"11/17/2023","Health","Irvine, CA","Acquired","St. Louis Business Journal",NA,"Irvine"
"Buildertrend",NA,0.16,"11/17/2023","Software","Omaha","Unknown","Silicon Prairie News",NA,"Omaha"
"Amazon",NA,NA,"11/17/2023","Business","Seattle, WA","Post-IPO","Reuters","These cuts are from Amazon's Alexa unit.","Seattle"
"Cart.com",25,0.04,"11/16/2023","Business","Austin, TX","Unknown","The Information",NA,"Austin"
"Codeup",NA,NA,"11/16/2023","Education","San Antonio, TX","Unknown","San Antonio Report",NA,"San Antonio"
"Solara Holdings",44,NA,"11/16/2023","Auto","Dallas, TX","Unknown","FreightWaves",NA,"Dallas"
"Sierra Space",165,NA,"11/16/2023","Hardware","Louisville, CO","Series B","CNBC",NA,"Louisville"
"Uleet",3,1,"11/15/2023","Health","Columbus, OH","Unknown","ColumbusInno",NA,"Columbus"
"Landing",NA,NA,"11/15/2023","Business","Birminham, AL","Series C","AlabamaInno",NA,"Birminham"
"Sonos",NA,NA,"11/15/2023","Consumer","Santa Barbara, CA","Post-IPO","Bloomberg",NA,"Santa Barbara"
"Markforged",NA,0.1,"11/14/2023","Services","Boston, MA","Post-IPO","Boston Business Journal",NA,"Boston"
"Chewy",200,NA,"11/14/2023","Business","Plantation, FL","Post-IPO","TechCrunch",NA,"Plantation"
"Amazon",180,NA,"11/13/2023","Business","Seattle, WA","Post-IPO","CNBC","The cuts are in the Crown Channel and Game Growth gaming divisions, which will be shut down,","Seattle"
"Recurrent Ventures",NA,NA,"11/13/2023","Media","Miami, FL","Unknown","Axios",NA,"Miami"
"Bloomberg Industry Group",14,0.01,"11/13/2023","Data","Arlington, VA","Unknown","Axios",NA,"Arlington"
"Bowery Farming",NA,NA,"11/10/2023","Agriculture","New York City, NY","Unknown","PitchBook",NA,"New York City"
"Carta",NA,NA,"11/9/2023","Finance","San Francisco, CA","Series G","Fortune",NA,"San Francisco"
"Amazon",NA,NA,"11/8/2023","Business","Seattle, WA","Post-IPO","Reuters","The company is cutting its Amazon Music workforce in Latin America, North America and Europe. It's unclear how many U.S. workers are affected.","Seattle"
"Alphabet",NA,NA,"11/8/2023","Tech","Mountain View, CA","Post-IPO","The Information",NA,"Mountain View"
"CloudKitchens",NA,NA,"11/8/2023","Services","Los Angeles, CA","Unknown","Business Insider",NA,"Los Angeles"
"Snap",20,NA,"11/8/2023","Social Related","Venice, CA","Post-IPO","The Information",NA,"Venice"
"Virgin Galactic",185,0.18,"11/8/2023","Hardware","Mojave, CA","Unknown","Seeking Alpha",NA,"Mojave"
"OSlash",NA,1,"11/8/2023","Software","San Francisco, CA","Seed","The Economic Times","The company has headquarters in San Francisco and Bengaluru. It's unclear how many U,S, employees will be affected.","San Francisco"
"Cruise",900,0.24,"11/8/2023","Auto","San Francisco, CA","Acquired","CNBC","This entry was updated on Dec. 14, 2023, when the number of layoffs was reported.","San Francisco"
"Dish Network",NA,NA,"11/8/2023","Telecommunication","Englewood, CO","Unknown","LightReading",NA,"Englewood"
"Zeus Living",NA,1,"11/7/2023","Services","San Francisco, CA","Series B","The Information",NA,"San Francisco"
"Nextdoor",99,0.25,"11/7/2023","Social Related","San Francisco, CA","Unknown","Associated Press","This entry was updated on Dec. 13, 2023, when the number of layoffs was reported.","San Francisco"
"Zillow",23,NA,"11/7/2023","Prop Tech","Seattle, WA","Post-IPO","Real Estate News",NA,"Seattle"
"Adtran",NA,NA,"11/7/2023","Software","Huntsville, AL","Unknown","LightReading",NA,"Huntsville"
"Homie",NA,NA,"11/6/2023","Prop Tech","South Jordan, UT","Series B","Just Layoffs",NA,"South Jordan"
"Pico Interactive",NA,NA,"11/6/2023","Media","Mountain View, CA","Acquired","VRUpload",NA,"Mountain View"
"Tekion",NA,0.02,"11/6/2023","Auto","Pleasanton, CA","Series D","Automotive News",NA,"Pleasanton"
"Ava Labs",NA,0.12,"11/6/2023","Cryptocurrency","New York City, NY","Private Equity","Decrypt",NA,"New York City"
"OpenSea",NA,0.5,"11/3/2023","Cryptocurrency","New York City, NY","Series C","Decrypt",NA,"New York City"
"F5",120,0.02,"11/3/2023","Security","Seattle, WA","Post-IPO","GeekWire",NA,"Seattle"
"Motorsport Games",38,0.4,"11/3/2023","Gaming","Miami, FL","Unknown","Insider Gaming",NA,"Miami"
"Orchard",NA,NA,"11/2/2023","Prop Tech","New York City, NY","Series D","LinkedIn Post",NA,"New York City"
"100 Thieves",NA,0.2,"11/2/2023","Gaming","Los Angeles, CA","Series C","The Verge",NA,"Los Angeles"
"Viasat",800,0.1,"11/2/2023","Telecommunication","Carlsbad, CA","Post-IPO","Bloomberg Law","This is a global layoff. It's unclear how many U.S. workers will be affected.","Carlsbad"
"OpenSpace",NA,NA,"11/2/2023","AI","San Francisco, CA","Series D","LinkedIn Post",NA,"San Francisco"
"Beyond Meat",65,0.19,"11/2/2023","Food","Manhattan Beach, CA","Post-IPO","ABC News",NA,"Manhattan Beach"
"Splunk",500,0.07,"11/1/2023","Data","San Francisco, CA","Post-IPO","CNBC",NA,"San Francisco"
"Sana Benefits",73,0.5,"11/1/2023","Human Resources","Austin, TX","Series B","Company communication",NA,"Austin"
"Informatica",545,0.1,"11/1/2023","Data","Redwood City, CA","Post-IPO","Barron's",NA,"Redwood City"
"Alphabet",NA,NA,"11/1/2023","Tech","Mountain View, CA","Post-IPO","Business Insider",NA,"Mountain View"
"Evil Geniuses",NA,NA,"11/1/2023","Media","Redmond, WA","Unknown","Dexerto",NA,"Redmond"
"Informatica",545,0.1,"11/1/2023","Data","Redwood City, CA","Post-IPO","Company's Q3 report",NA,"Redwood City"
"Faire",250,NA,"11/1/2023","Business","San Francisco, CA","Series G","Business Insider",NA,"San Francisco"
"Bungie",100,0.08,"10/31/2023","Gaming","Belleview, WA","Unknown","Bloomberg",NA,"Belleview"
"Olive AI",NA,NA,"10/31/2023","Health","Columbus, OH","Series H","The Information",NA,"Columbus"
"Onsemi",900,NA,"10/30/2023","Hardware","Phoenix, AZ","Unknown","Reuters",NA,"Phoenix"
"Hubilo",50,NA,"10/30/2023","Services","San Francisco, CA","Series B","Skift",NA,"San Francisco"
"Karat Financial",NA,NA,"10/27/2023","Finance","Los Angeles, CA","Series B","Business Insider",NA,"Los Angeles"
"VMware",NA,NA,"10/27/2023","Cloud","Palo Alto, CA","Acquired","Business Insider",NA,"Palo Alto"
"Roku",136,NA,"10/26/2023","Media","Los Gatos, CA","Post-IPO","Silicon Valley Business Journal",NA,"Los Gatos"
"Peloton",6,NA,"10/26/2023","Fitness","New York City, NY","Post-IPO","San Francisco Chronicle","The layoff is scheduled for February 2024 with the shut down of the Walnut Creek showroom.","New York City"
"Hippo Insurance",70,NA,"10/26/2023","Insurance","Palo Alto, CA","Post-IPO","The Insurer",NA,"Palo Alto"
"Slync",NA,1,"10/25/2023","Logistics","Dallas, TX","Series B","Forbes",NA,"Dallas"
"Exabeam",NA,0.2,"10/25/2023","Cybersecurity","Foster City, CA","Series F","Company update","This is an announced global cut. It's unclear how many U.S. workers are affected.","Foster City"
"Salsify",110,NA,"10/25/2023","Cloud","Boston, MA","Series F","Bostinno",NA,"Boston"
"SiFive",130,0.2,"10/24/2023","Hardware","San Mateo, CA","Series F","The Information",NA,"San Mateo"
"Shipt",NA,0.035,"10/24/2023","Services","Birmingham, AL","Acquired","AL.com",NA,"Birmingham"
"Pebble",NA,1,"10/24/2023","Social Related","Santa Cruz, CA","Seed","TechCrunch",NA,"Santa Cruz"
"Zulily",NA,NA,"10/24/2023","Business","Seattle, WA","Acquired","GeekWire",NA,"Seattle"
