"company","layoff_number","layoff_percent","announcement_date","industry","headquarters","financing_stage","source","notes","City"
"Greenhouse Software",100,0.12,"4/27/2023","Human Resources","New York City, NY","Private Equity","Greenhouse Software",NA,"New York City"
"Dropbox",500,0.16,"4/27/2023","Telecommunication","San Francisco, CA","Post-IPO","Dropbox",NA,"San Francisco"
"Teampay",30,0.33,"4/26/2023","Human Resources","New York City, NY","Series B","Axios",NA,"New York City"
"BigPanda",40,0.13,"4/24/2023","Cybersecurity","Mountain View, CA","Series E","Calcalistech",NA,"Mountain View"
"Red Hat",760,0.04,"4/24/2023","Software","Raleigh, NC","Acquired","Red Hat",NA,"Raleigh"
"Lyft",NA,0.3,"4/21/2023","Travel","San Francisco, CA","Post-IPO","WSJ",NA,"San Francisco"
"Lenovo",NA,NA,"4/20/2023","Hardware","Beijing, China","Post-IPO","WRAL TechWire",NA,"Beijing"
"Insider",NA,0.1,"4/20/2023","Media","New York City, NY","Unknown","Daily Beast",NA,"New York City"
"BuzzFeed",180,0.15,"4/20/2023","Media","New York City, NY","Post-IPO","Variety",NA,"New York City"
"WalkMe",112,0.1,"4/19/2023","Education","San Francisco, CA","Post-IPO","Calcalistech",NA,"San Francisco"
"F5",623,0.09,"4/19/2023","Security","Seattle, WA","Post-IPO","Reuters",NA,"Seattle"
"Opendoor",560,0.22,"4/18/2023","Prop Tech","San Francisco, CA","Post-IPO","Inman",NA,"San Francisco"
"Clearcover",NA,0.15,"4/17/2023","Auto","Chicago, IL","Series D","CoverageR",NA,"Chicago"
"Calibrate",NA,0.18,"4/14/2023","Telecommunication","New York City, NY","Series B","Bloomberg",NA,"New York City"
"Community Gaming",17,0.17,"4/14/2023","Gaming","New York City, NY","Series A","Decrypt",NA,"New York City"
"Drip Capital",75,0.2,"4/14/2023","Finance","Palo Alto, CA","Series C","Inc42",NA,"Palo Alto"
"Mediafly",NA,NA,"4/13/2023","Business","Chicago, IL","Private Equity","CEO Carson V. Conant",NA,"Chicago"
"Astronomer",NA,NA,"4/13/2023","Data","Cincinnati, OH","Series C","Crunchbase reporting",NA,"Cincinnati"
"Snyk",128,NA,"4/13/2023","Cybersecurity","Boston, MA","Series F","Snyk",NA,"Boston"
"Medtronic",59,NA,"4/12/2023","Health","Minneapolis, MN","Post-IPO","MassDevice",NA,"Minneapolis"
"Reforge",NA,NA,"4/11/2023","Education","San Francisco, CA","Series B","CEO Brian Balfour",NA,"San Francisco"
"Redfin",201,0.04,"4/11/2023","Prop Tech","Seattle, WA","Post-IPO","GeekWire",NA,"Seattle"
"Workit Health",100,NA,"4/7/2023","Health","Ann Arbor, MI","Series C","Behavioral Health Business",NA,"Ann Arbor"
"Pear Therapeutics",170,0.92,"4/7/2023","Software","Boston, MA","Post-IPO","MassDevice",NA,"Boston"
"Amplitude",99,0.13,"4/5/2023","Services","San Francisco, CA","Post-IPO","Amplitude",NA,"San Francisco"
"Boost",15,0.2,"4/4/2023","Insurance","New York City, NY","Series B","Boost",NA,"New York City"
"Foundation Medicine",135,NA,"4/4/2023","Biotech","Cambridge, MA","Acquired","Foundation Medicine",NA,"Cambridge"
"Apple",NA,NA,"4/3/2023","Hardware","Cupertino, CA","Post-IPO","Bloomberg",NA,"Cupertino"
"Textio",15,0.12,"4/3/2023","AI","Seattle, WA","Unknown","GeekWire",NA,"Seattle"
